Customer ID,Customer Name,Last Name,Date of Birth,Sales,Year,Outlet Type,City Type,Category of Goods,Region,Country,Segment,Sales Date,Order ID,Order Date,Ship Date,Ship Mode,State,Postal Code,Product ID,Sub-Category,Product Name,Quantity,Discount,Profit
CUST000030,Michael,Stephenson,1966-12-22,16716.48,2019,Small,Village,Household Items,North,India,Corporate,2021-12-25,ORD000030,2019-05-20,2019-05-27,Same Day,Punjab,160001,PROD000030,Utensils,Utensils - 709,2,0.39,1748.93
CUST000031,Natasha,Murray,1967-04-21,6167.65,2020,Medium,Tier 2,Sessional Fruits & Vegetables,South,India,Consumer,2022-05-13,ORD000031,2019-03-05,2019-03-10,Same Day,Delhi,110001,PROD000031,Apples,Apples - 653,3,0.29,583.15
CUST000032,William,Duran,1972-09-02,44969.55,2021,Large,Tier 1,Fast Food,South,India,Consumer,2022-09-27,ORD000032,2023-05-25,2023-05-28,First Class,Maharashtra,400001,PROD000032,Burgers,Burgers - 387,2,0.11,9788.65
CUST000033,Gregg,Perkins,2007-01-25,38388.24,2022,Medium,Village,Furniture,South,India,Consumer,2020-05-28,ORD000033,2023-12-10,2023-12-11,Same Day,Rajasthan,302001,PROD000033,Tables,Tables - 303,2,0.14,3832.45
CUST000034,Lori,Phillips,1968-01-03,4999.82,2022,Medium,Tier 1,Electric Appliances,West,India,Consumer,2023-01-13,ORD000034,2023-07-28,2023-08-02,First Class,Gujarat,380001,PROD000034,Washing Machines,Washing Machines - 352,8,0.36,867.85
CUST000035,Brooke,Lowe,1964-06-20,32193.01,2022,Large,Tier 2,Household Items,West,India,Consumer,2019-03-28,ORD000035,2023-01-27,2023-01-30,Standard Class,Gujarat,380001,PROD000035,Buckets,Buckets - 271,7,0.08,4603.52
CUST000036,Kevin,Moore,1960-11-09,33453.57,2023,Small,Village,Dairy Products,North,India,Corporate,2022-10-10,ORD000036,2023-09-02,2023-09-03,Second Class,Gujarat,380001,PROD000036,Yogurt,Yogurt - 185,8,0.43,5456.87
CUST000037,Sandy,Miller,1974-11-26,41830.92,2022,Large,Tier 1,Furniture,South,India,Consumer,2019-12-19,ORD000037,2019-12-09,2019-12-10,Second Class,Karnataka,560001,PROD000037,Chairs,Chairs - 859,5,0.22,5209.41
CUST000038,Morgan,Greene,2007-05-24,31602.21,2019,Medium,Village,Household Items,South,India,Corporate,2023-12-28,ORD000038,2021-12-20,2021-12-26,Second Class,Karnataka,560001,PROD000038,Buckets,Buckets - 597,3,0.49,2620.14
CUST000039,Kevin,Terrell,1950-03-12,7903.34,2019,Medium,Tier 1,Electric Appliances,North,India,Consumer,2023-04-21,ORD000039,2021-02-25,2021-02-27,Standard Class,Uttar Pradesh,226001,PROD000039,Fans,Fans - 681,3,0.06,1187.42
CUST000040,Jeanne,Gonzales,1998-08-28,23667.32,2021,Large,Village,Household Items,South,India,Corporate,2020-05-19,ORD000040,2021-09-23,2021-09-29,First Class,Gujarat,380001,PROD000040,Mops,Mops - 154,2,0.07,3631.17
CUST000041,Kayla,Rivera,1961-11-01,39762.15,2023,Large,Tier 2,Furniture,North,India,Corporate,2022-04-17,ORD000041,2023-02-09,2023-02-15,Same Day,Punjab,160001,PROD000041,Chairs,Chairs - 420,10,0.03,6437.84
CUST000042,Michelle,Green,1982-09-02,10843.03,2021,Medium,Tier 1,Dairy Products,North,India,Consumer,2019-05-17,ORD000042,2019-03-21,2019-03-22,Second Class,Punjab,160001,PROD000042,Cheese,Cheese - 499,7,0.08,2550.74
CUST000043,Timothy,Morrow,1983-09-23,35014.14,2021,Small,Tier 1,Fast Food,South,India,Consumer,2022-12-14,ORD000043,2022-07-15,2022-07-20,Standard Class,Delhi,110001,PROD000043,Sandwiches,Sandwiches - 116,8,0.19,6929.86
CUST000044,Richard,Simmons,2007-04-20,49912.22,2020,Medium,Tier 2,Dairy Products,North,India,Corporate,2019-08-18,ORD000044,2021-10-21,2021-10-27,First Class,Karnataka,560001,PROD000044,Yogurt,Yogurt - 508,3,0,7076.5
CUST000045,Joseph,Jones,1963-05-07,11595.62,2023,Small,Tier 2,Fast Food,East,India,Consumer,2020-10-31,ORD000045,2021-11-25,2021-11-27,First Class,Tamil Nadu,600001,PROD000045,Pizzas,Pizzas - 959,6,0.02,1819.63
CUST000046,Joshua,Welch,2003-05-08,40938.72,2019,Medium,Village,Electric Appliances,North,India,Consumer,2019-07-05,ORD000046,2023-08-16,2023-08-23,First Class,Karnataka,560001,PROD000046,Refrigerators,Refrigerators - 446,7,0.32,4902.81
CUST000047,Victoria,Lang,1951-07-06,43356.81,2023,Small,Tier 2,Sessional Fruits & Vegetables,West,India,Corporate,2021-06-10,ORD000047,2019-11-25,2019-11-27,Standard Class,Rajasthan,302001,PROD000047,Mangoes,Mangoes - 601,10,0.14,6415
CUST000048,Amy,Armstrong,1966-03-14,37449.42,2019,Small,Village,Dairy Products,East,India,Consumer,2023-05-29,ORD000048,2020-02-12,2020-02-18,Same Day,West Bengal,700001,PROD000048,Butter,Butter - 376,1,0.4,5330.17
CUST000049,Amber,Ramirez,1979-04-25,378.65,2022,Large,Village,Electric Appliances,North,India,Consumer,2022-12-09,ORD000049,2021-07-07,2021-07-12,First Class,West Bengal,700001,PROD000049,Washing Machines,Washing Machines - 314,6,0.44,30.32
CUST000050,Patrick,Hickman,2012-01-30,4596.06,2021,Small,Village,Household Items,West,India,Corporate,2019-09-18,ORD000050,2020-01-20,2020-01-23,Standard Class,Karnataka,560001,PROD000050,Detergents,Detergents - 724,1,0.09,566.91
CUST000051,Misty,Fletcher,1956-10-30,15945.03,2019,Large,Tier 1,Household Items,East,India,Consumer,2023-06-03,ORD000051,2020-05-20,2020-05-23,Second Class,Rajasthan,302001,PROD000051,Utensils,Utensils - 165,9,0.41,2139.78
CUST000052,Michelle,Lozano,1971-07-20,45056.72,2021,Small,Village,Household Items,East,India,Corporate,2022-02-26,ORD000052,2020-02-14,2020-02-20,Same Day,Uttar Pradesh,226001,PROD000052,Buckets,Buckets - 443,5,0.25,4495.91
CUST000053,Kristen,Yang,1981-07-06,14187.47,2023,Small,Tier 2,Dairy Products,East,India,Consumer,2021-01-15,ORD000053,2019-03-13,2019-03-15,Standard Class,Rajasthan,302001,PROD000053,Yogurt,Yogurt - 729,8,0.17,3102.02
CUST000054,Michael,Ortega,2003-09-19,3119.4,2019,Large,Tier 2,Sessional Fruits & Vegetables,West,India,Corporate,2022-01-10,ORD000054,2023-06-20,2023-06-23,Standard Class,Rajasthan,302001,PROD000054,Mangoes,Mangoes - 152,9,0.1,399.27
CUST000055,Nancy,Wilson,1974-10-19,5552.12,2022,Large,Tier 1,Household Items,West,India,Corporate,2019-03-16,ORD000055,2020-10-07,2020-10-08,Standard Class,Rajasthan,302001,PROD000055,Buckets,Buckets - 259,1,0.17,601.64
CUST000056,Jay,Bell,1983-06-18,46089.88,2022,Small,Village,Electric Appliances,East,India,Corporate,2023-04-08,ORD000056,2022-03-22,2022-03-28,Same Day,Karnataka,560001,PROD000056,Washing Machines,Washing Machines - 208,3,0.32,3186.9
CUST000057,John,Miles,1999-03-14,41202.61,2022,Medium,Tier 2,Dairy Products,South,India,Consumer,2021-08-13,ORD000057,2021-11-09,2021-11-12,Same Day,Karnataka,560001,PROD000057,Cheese,Cheese - 104,3,0.38,3039.9
CUST000058,Courtney,Mejia,1958-09-14,35606.55,2019,Small,Village,Electric Appliances,East,India,Consumer,2019-12-28,ORD000058,2019-06-26,2019-06-30,Standard Class,Punjab,160001,PROD000058,Washing Machines,Washing Machines - 479,4,0.42,3162.47
CUST000059,Sharon,Gonzalez,2001-03-08,25717.31,2020,Large,Village,Dairy Products,North,India,Corporate,2021-11-29,ORD000059,2021-05-04,2021-05-10,First Class,West Bengal,700001,PROD000059,Cheese,Cheese - 151,7,0.08,4469.55
CUST000060,Thomas,Hill,1962-02-23,18052.48,2022,Medium,Tier 2,Dairy Products,North,India,Corporate,2023-10-17,ORD000060,2020-08-06,2020-08-08,First Class,Gujarat,380001,PROD000060,Milk,Milk - 931,2,0.35,1386.25
CUST000061,Jeffrey,Lopez,2000-10-15,24074.86,2023,Large,Tier 1,Furniture,North,India,Corporate,2020-08-17,ORD000061,2019-08-01,2019-08-02,Second Class,West Bengal,700001,PROD000061,Tables,Tables - 189,1,0.14,4149.35
CUST000062,Chad,Holmes,1981-03-10,17103.72,2021,Large,Tier 1,Dairy Products,East,India,Consumer,2023-02-17,ORD000062,2020-05-12,2020-05-19,Same Day,Gujarat,380001,PROD000062,Yogurt,Yogurt - 255,10,0.35,1522.18
CUST000063,Laura,Koch,1999-06-15,33223,2021,Large,Tier 1,Sessional Fruits & Vegetables,South,India,Corporate,2022-01-07,ORD000063,2023-07-15,2023-07-17,Standard Class,West Bengal,700001,PROD000063,Mangoes,Mangoes - 242,2,0.47,4928.08
CUST000064,Laura,Johnson,1961-04-06,5549.65,2021,Large,Village,Electric Appliances,South,India,Consumer,2023-11-25,ORD000064,2020-06-09,2020-06-13,First Class,Madhya Pradesh,462001,PROD000064,Microwaves,Microwaves - 604,3,0.29,563.06
CUST000065,Daniel,Clark,1973-04-02,1941.21,2023,Medium,Village,Furniture,West,India,Consumer,2021-09-04,ORD000065,2022-04-19,2022-04-23,First Class,Punjab,160001,PROD000065,Sofas,Sofas - 774,7,0.24,303.42
CUST000066,Katherine,Clark,1966-07-13,5961.75,2022,Large,Tier 2,Household Items,North,India,Consumer,2019-10-23,ORD000066,2020-07-22,2020-07-23,Same Day,Maharashtra,400001,PROD000066,Utensils,Utensils - 909,10,0.47,403.06
CUST000067,Dustin,Bryant,1981-05-14,15033.44,2022,Large,Village,Electric Appliances,West,India,Corporate,2019-09-10,ORD000067,2019-01-05,2019-01-10,First Class,Madhya Pradesh,462001,PROD000067,Fans,Fans - 477,3,0.15,2058.14
CUST000068,Victor,Hall,2009-02-09,21552.93,2022,Medium,Village,Electric Appliances,East,India,Consumer,2022-08-31,ORD000068,2021-09-07,2021-09-14,Second Class,Uttar Pradesh,226001,PROD000068,Fans,Fans - 691,5,0.37,1492.29
CUST000069,Rebecca,Lawrence,2005-05-14,4878.15,2021,Medium,Tier 2,Dairy Products,North,India,Corporate,2023-12-16,ORD000069,2023-05-01,2023-05-08,First Class,Uttar Pradesh,226001,PROD000069,Cheese,Cheese - 211,7,0.31,468.53
CUST000070,Kara,Galvan,1970-03-20,46801.69,2020,Medium,Tier 2,Dairy Products,East,India,Corporate,2019-08-30,ORD000070,2022-06-07,2022-06-10,Same Day,Karnataka,560001,PROD000070,Milk,Milk - 150,10,0.45,6319.46
CUST000071,Anthony,Fox,1994-11-01,22971.7,2019,Small,Village,Fast Food,North,India,Corporate,2023-02-17,ORD000071,2023-08-06,2023-08-08,Second Class,Madhya Pradesh,462001,PROD000071,Fries,Fries - 887,1,0.29,3182.37
CUST000072,Teresa,Adams,1954-11-04,49342.22,2021,Medium,Tier 1,Sessional Fruits & Vegetables,West,India,Corporate,2020-05-10,ORD000072,2021-05-21,2021-05-26,Standard Class,Maharashtra,400001,PROD000072,Tomatoes,Tomatoes - 186,10,0.29,7270.12
CUST000073,Evelyn,Parker,1978-10-16,4357.85,2019,Large,Tier 2,Fast Food,South,India,Corporate,2022-06-21,ORD000073,2022-01-12,2022-01-13,Standard Class,Karnataka,560001,PROD000073,Pizzas,Pizzas - 144,4,0.38,299.28
CUST000074,Elizabeth,Hammond,1988-10-13,37866.05,2021,Small,Tier 1,Electric Appliances,West,India,Corporate,2023-06-11,ORD000074,2023-11-20,2023-11-23,Same Day,Maharashtra,400001,PROD000074,Fans,Fans - 113,1,0.07,9406.68
CUST000075,Denise,Lynch,1958-02-24,10613.65,2021,Large,Tier 2,Fast Food,South,India,Consumer,2021-05-19,ORD000075,2022-09-24,2022-09-30,First Class,Tamil Nadu,600001,PROD000075,Fries,Fries - 353,6,0.04,2632.64
CUST000076,Carrie,Nguyen,1988-12-03,34132.43,2022,Small,Tier 1,Electric Appliances,West,India,Corporate,2021-02-24,ORD000076,2021-12-14,2021-12-21,Same Day,Madhya Pradesh,462001,PROD000076,Fans,Fans - 994,6,0.04,8067.39
CUST000077,Danielle,Ramirez,1995-12-27,32935.9,2021,Medium,Village,Dairy Products,West,India,Consumer,2020-03-13,ORD000077,2023-01-09,2023-01-12,Standard Class,Rajasthan,302001,PROD000077,Butter,Butter - 442,8,0.38,5988.54
CUST000078,Jennifer,Cox,1980-11-22,22501.5,2020,Small,Tier 2,Fast Food,West,India,Corporate,2022-03-15,ORD000078,2021-12-11,2021-12-14,First Class,Uttar Pradesh,226001,PROD000078,Pizzas,Pizzas - 609,9,0.49,2189.44
CUST000079,Anita,Smith,2005-12-15,4064.52,2021,Large,Tier 1,Dairy Products,West,India,Corporate,2019-07-27,ORD000079,2019-06-17,2019-06-24,Standard Class,Tamil Nadu,600001,PROD000079,Cheese,Cheese - 516,10,0.31,369.06
CUST000080,John,Williams,1954-04-03,19218.16,2019,Small,Tier 2,Furniture,North,India,Corporate,2019-06-18,ORD000080,2020-06-21,2020-06-27,Second Class,Karnataka,560001,PROD000080,Tables,Tables - 457,3,0.22,2588.25
CUST000081,Karen,Browning,1989-06-23,21489.08,2020,Large,Tier 2,Dairy Products,North,India,Corporate,2023-09-05,ORD000081,2021-05-30,2021-06-04,First Class,West Bengal,700001,PROD000081,Yogurt,Yogurt - 526,2,0.25,2286.15
CUST000082,Kathryn,Lee,2009-03-02,2183.3,2022,Large,Village,Electric Appliances,East,India,Consumer,2022-12-01,ORD000082,2022-12-02,2022-12-09,Second Class,Gujarat,380001,PROD000082,Microwaves,Microwaves - 404,3,0.49,205.17
CUST000083,John,May,1957-10-09,4252.58,2020,Large,Tier 1,Fast Food,West,India,Corporate,2022-12-22,ORD000083,2023-01-15,2023-01-21,Standard Class,Punjab,160001,PROD000083,Burgers,Burgers - 865,2,0.04,830.09
CUST000084,Michael,King,1989-04-16,12502.21,2021,Large,Tier 2,Electric Appliances,South,India,Consumer,2019-05-04,ORD000084,2020-03-15,2020-03-18,Standard Class,Delhi,110001,PROD000084,Refrigerators,Refrigerators - 530,10,0.49,1738.42
CUST000085,Jessica,Ruiz,1981-08-17,44441.84,2020,Medium,Tier 2,Household Items,East,India,Consumer,2019-07-23,ORD000085,2019-02-20,2019-02-24,Standard Class,Maharashtra,400001,PROD000085,Utensils,Utensils - 513,5,0.5,4751.11
CUST000086,Carlos,Moore,2007-09-19,2951.07,2021,Small,Village,Dairy Products,East,India,Corporate,2021-05-25,ORD000086,2021-08-21,2021-08-27,Standard Class,Uttar Pradesh,226001,PROD000086,Yogurt,Yogurt - 943,8,0.37,504.53
CUST000087,Tiffany,Bautista,2003-10-03,33732.85,2023,Small,Tier 1,Dairy Products,West,India,Corporate,2023-12-10,ORD000087,2021-07-09,2021-07-15,Second Class,Tamil Nadu,600001,PROD000087,Yogurt,Yogurt - 154,7,0.3,5107.71
CUST000088,David,Eaton,1985-08-09,2190.27,2019,Medium,Village,Sessional Fruits & Vegetables,East,India,Consumer,2021-01-29,ORD000088,2019-06-23,2019-06-24,First Class,Uttar Pradesh,226001,PROD000088,Tomatoes,Tomatoes - 637,4,0.03,599.14
CUST000089,Jose,Carrillo,2014-09-28,49298.05,2019,Small,Tier 1,Electric Appliances,South,India,Consumer,2019-03-13,ORD000089,2020-03-21,2020-03-26,Second Class,Gujarat,380001,PROD000089,Refrigerators,Refrigerators - 842,8,0.02,7957.55
CUST000090,Matthew,Lucero,1985-03-30,18541.08,2019,Small,Tier 1,Fast Food,North,India,Corporate,2021-08-19,ORD000090,2019-06-01,2019-06-02,Second Class,West Bengal,700001,PROD000090,Sandwiches,Sandwiches - 512,3,0.45,2815.08
CUST000091,Rebekah,Hill,1962-03-06,14362.94,2022,Small,Tier 2,Sessional Fruits & Vegetables,North,India,Consumer,2021-08-08,ORD000091,2021-10-11,2021-10-12,Same Day,Madhya Pradesh,462001,PROD000091,Tomatoes,Tomatoes - 712,7,0.41,2417.72
CUST000092,Todd,Chapman,2002-08-17,22134.74,2022,Medium,Tier 1,Furniture,East,India,Consumer,2021-12-28,ORD000092,2022-11-25,2022-11-30,First Class,Punjab,160001,PROD000092,Sofas,Sofas - 215,2,0.39,2313.97
CUST000093,Samantha,Martinez,2002-02-16,3485.44,2021,Medium,Tier 1,Household Items,East,India,Corporate,2022-04-18,ORD000093,2023-01-11,2023-01-14,Same Day,Karnataka,560001,PROD000093,Detergents,Detergents - 461,1,0.01,535.1
CUST000094,Angela,Brown,1996-06-07,13846.12,2019,Small,Tier 2,Furniture,South,India,Corporate,2021-04-05,ORD000094,2022-04-21,2022-04-26,Second Class,West Bengal,700001,PROD000094,Sofas,Sofas - 690,3,0.37,2195.95
CUST000095,Lauren,Reed,1962-07-10,31236.77,2021,Medium,Tier 2,Household Items,West,India,Corporate,2019-12-04,ORD000095,2022-02-25,2022-03-01,Second Class,Karnataka,560001,PROD000095,Detergents,Detergents - 940,1,0,7427.19
CUST000096,Sandra,Hubbard,2001-12-08,40544.54,2020,Medium,Tier 1,Fast Food,North,India,Corporate,2023-06-14,ORD000096,2020-10-19,2020-10-25,Same Day,Uttar Pradesh,226001,PROD000096,Burgers,Burgers - 913,8,0.03,7015.28
CUST000097,Marcus,Barker,1984-04-23,45706.34,2021,Small,Village,Dairy Products,North,India,Corporate,2023-09-30,ORD000097,2023-03-30,2023-04-03,Second Class,West Bengal,700001,PROD000097,Butter,Butter - 611,1,0.08,6356.72
CUST000098,Kimberly,Mccall,2001-04-23,3718.28,2020,Medium,Tier 1,Furniture,East,India,Consumer,2022-05-06,ORD000098,2021-01-11,2021-01-13,Standard Class,Uttar Pradesh,226001,PROD000098,Chairs,Chairs - 684,4,0.3,685.51
CUST000099,Karen,Mason,1954-07-16,6704.71,2023,Large,Tier 1,Sessional Fruits & Vegetables,South,India,Corporate,2023-06-23,ORD000099,2023-05-04,2023-05-11,Standard Class,Delhi,110001,PROD000099,Mangoes,Mangoes - 257,8,0.34,1210.03
CUST000100,Sharon,Rangel,2017-04-28,3002.3,2022,Medium,Tier 2,Furniture,West,India,Corporate,2020-03-15,ORD000100,2019-05-25,2019-06-01,Second Class,Punjab,160001,PROD000100,Sofas,Sofas - 130,10,0.25,417.85
CUST000101,Jack,Duncan,1973-06-03,10929.33,2023,Medium,Tier 1,Furniture,South,India,Corporate,2023-12-23,ORD000101,2023-06-02,2023-06-09,Same Day,Rajasthan,302001,PROD000101,Tables,Tables - 221,7,0.23,1408.71
CUST000102,Katie,Mccormick,1977-01-02,34572.32,2019,Large,Tier 2,Furniture,East,India,Consumer,2019-12-16,ORD000102,2022-02-13,2022-02-17,Second Class,Punjab,160001,PROD000102,Chairs,Chairs - 203,5,0.45,4406.38
CUST000103,Steven,Jones,2003-07-23,36478.13,2023,Large,Village,Sessional Fruits & Vegetables,North,India,Consumer,2022-03-05,ORD000103,2019-06-01,2019-06-06,Same Day,Tamil Nadu,600001,PROD000103,Mangoes,Mangoes - 323,9,0.15,5900.74
CUST000104,Kaitlin,Brooks,1978-08-01,26759.07,2020,Small,Tier 1,Fast Food,East,India,Consumer,2019-04-30,ORD000104,2022-06-22,2022-06-27,Standard Class,Delhi,110001,PROD000104,Pizzas,Pizzas - 395,3,0.38,2039.49
CUST000105,Cindy,Lopez,1990-12-11,38898.03,2022,Small,Tier 1,Household Items,North,India,Corporate,2022-09-19,ORD000105,2023-06-14,2023-06-21,Second Class,Uttar Pradesh,226001,PROD000105,Utensils,Utensils - 133,1,0.03,5996.93
CUST000106,Erin,Liu,1958-10-02,36644.28,2022,Medium,Village,Dairy Products,North,India,Corporate,2023-03-31,ORD000106,2020-12-22,2020-12-27,First Class,Delhi,110001,PROD000106,Milk,Milk - 934,1,0.01,6567.63
CUST000107,Veronica,Jefferson,2014-09-27,25950.92,2019,Small,Tier 2,Dairy Products,West,India,Corporate,2021-07-21,ORD000107,2019-02-13,2019-02-16,Second Class,Madhya Pradesh,462001,PROD000107,Milk,Milk - 790,8,0.47,1509.41
CUST000108,Mary,Jones,1960-04-11,14299.23,2019,Large,Tier 1,Electric Appliances,West,India,Consumer,2021-09-01,ORD000108,2022-11-28,2022-11-29,First Class,West Bengal,700001,PROD000108,Washing Machines,Washing Machines - 969,5,0.31,2199.1
